"","Species","CommonName","TaxonomicGrouping","FilterRegion","FilterSubRegion","ManagementBody","ManagementPlan","DistributionProjectName"
"14","Enteroctopus dofleini","North pacific giant octopus","Cephalopoda (squid, octopus)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"15","Erimacrus isenbeckii","Hair crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"16","Eumicrotremus orbis","Pacific spiny lumpsucker","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"17","Gadus chalcogrammus","Walleye pollock","Gadiformes (Cods, genadiers, pollock)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"18","Gadus macrocephalus","Pacific cod","Gadiformes (Cods, genadiers, pollock)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"19","Glyptocephalus zachirus","Rex sole","Pleuronectiformes (Flatfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"20","Gorgonocephalus eucnemis","Basket star","Ophiuroidea (brittle stars)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"21","Gymnocanthus galeatus","Armorhead sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"22","Hemilepidotus jordani","Yellow irish lord","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"23","Hemilepidotus zapus","Longfin irish lord","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"24","Hemitripterus bolini","Bigmouth sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"25","Hippasteria phrygiana","Arctic cushion star","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"26","Hippoglossoides elassodon","Flathead sole","Pleuronectiformes (Flatfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"27","Hippoglossus stenolepis","Pacific halibut","Pleuronectiformes (Flatfishes)","Alaska","Aleutian Islands","NPFMC","Species Managed Under International Agreement - IPHC","NMFS/Rutgers IDW Interpolation"
"28","Hyas lyratus","Pacific lyre crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"29","Lepidopsetta sp.","Rock soles","Pleuronectiformes (Flatfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"30","Leptasterias coei truculenta","Giant Aleutian six-rayed star","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"31","Lethasterias nanimensis","Black spined sea star","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"32","Lethotremus muticus","Docked snailfish","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"33","Lithodes aequispinus","Golden king crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"34","Lycodes concolor","Ebony eelpout","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"35","Malacocottus zonurus","Darkfin sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"36","Microstomus pacificus","Dover sole","Pleuronectiformes (Flatfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"37","Modiolus modiolus","Northern horsemussel","Bivalvia (clams, muscles, oyster, arks, etc)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"38","Myoxocephalus polyacanthocephalus","Great sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"39","Oregonia gracilis","Graceful decorator crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"40","Pagurus aleuticus","Aleutian hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"41","Pagurus brandti","Sponge hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"42","Pagurus trigonocheirus","Fuzzy hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"43","Pleurogrammus monopterygius","Atka mackerel","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"44","Podothecus accipenserinus","Sturgeon poacher","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"45","Pseudarchaster parelii","Northern scarlet star","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"46","Reinhardtius hippoglossoides","Greenland halibut","Pleuronectiformes (Flatfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Not for IDW"
"47","Rossia pacifica","Eastern pacific bobtail","Cephalopoda (squid, octopus)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"48","Sarritor frenatus","Sawback poacher","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
