,Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
183,Hemitripterus bolini,Bigmouth sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
184,Hexagrammos stelleri,Whitespotted greenling,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
185,Hiatella arctica,Arctic hiatella,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,Not for IDW
186,Hippoglossoides elassodon and H. robustus,Flathead sole-bering flounder,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
187,Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Species Managed Under International Agreement - IPHC,NMFS/Rutgers IDW Interpolation
188,Hyas coarctatus,Arctic lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
189,Hyas lyratus,Pacific lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
190,Icelus spatula,Spatulate sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
191,Icelus spiniger,Thorny sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
192,Isopsetta isolepis,Butter sole,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,NA,Not for IDW
193,Labidochirus splendescens,Splendid hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
194,Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
195,Leptasterias (Hexasterias) polaris,Polar six-rayed star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
196,Leptasterias arctica,Arctic star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
197,Leptasterias groenlandica,Greenland star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,Not for IDW
198,Leptoclinus maculatus,Daubed shanny,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,,Not for IDW
199,Lethasterias nanimensis,Black spined sea star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
200,Limanda aspera,Yellowfin sole,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
201,Limanda sakhalinensis,Sakhalin sole,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,,,Not for IDW
202,Liparis gibbus,Variegated snailfish,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
203,Liponema brevicorne,Tentacle shedding anemone,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Eastern Bering Sea,,,Not for IDW
204,Lumpenus sagitta,Snake prickleback,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,,Not for IDW
205,Lycodes brevipes,Shortfin eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
206,Lycodes palearis,Wattled eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
207,Lycodes raridens,Marbled eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,,Not for IDW
208,Mactromeris polynyma,Arctic surfclam,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
209,Mallotus villosus,Capelin,"Osmeriformes (caplin, freshwater smelt)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
210,Megangulus luteus,Alaskan great tellin,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,Not for IDW
211,Metridium farcimen,Giant plumose anemone,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Eastern Bering Sea,,,Not for IDW
212,Musculus discors,Discordant mussel,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,Not for IDW
213,Myoxocephalus jaok,Plain sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
214,Myoxocephalus polyacanthocephalus,Great sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
215,Myoxocephalus scorpius,Shorthorn sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
216,Myzopsetta proboscidea,Longhead dab,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
217,Neocrangon communis,Gray shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
218,Neptunea borealis,NA,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
219,Neptunea heros,Northern neptune whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
220,Neptunea lyrata,Lyre whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
221,Neptunea pribiloffensis,Pribilof whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
222,Neptunea ventricosa,Fat whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
223,Occella dodecaedron,Bering poacher,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
224,Ophiura sarsii,Notched brittle star,Ophiuroidea (brittle stars),Alaska,Eastern Bering Sea,,,Not for IDW
225,Oregonia gracilis,Graceful decorator crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
226,Pagurus aleuticus,Aleutian hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
227,Pagurus brandti,Sponge hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
228,Pagurus capillatus,Hairy hermit crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
229,Pagurus confragosus,Knobbyhand hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
230,Pagurus ochotensis,Alaskan hermit crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
231,Pagurus rathbuni,Longfinger hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
232,Pagurus trigonocheirus,Fuzzy hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
233,Pandalus eous,Northern shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
234,Pandalus goniurus,Humpy shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
235,Paralithodes camtschaticus,Red king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
236,Paralithodes platypus,Blue king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
237,Patinopecten caurinus,Weathervane scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,Not for IDW
238,Platichthys stellatus,Starry flounder,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
239,Pleuronectes quadrituberculatus,Alaska plaice,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
240,Plicifusus kroyeri,Arctic whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
241,Podothecus accipenserinus,Sturgeon poacher,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
242,Pteraster obscurus,Obscure cushion star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
243,Pyrulofusus deformis,Warped whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
244,Pyrulofusus melonis,Giant melon whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
245,Reinhardtius hippoglossoides,Greenland halibut,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
246,Rhamphostomella costata,Ribbed bryozoan,Bryozoa,Alaska,Eastern Bering Sea,,,Not for IDW
247,Sarritor frenatus,Sawback poacher,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
248,Serratiflustra serrulata,Leafy bryozoan,Bryozoa,Alaska,Eastern Bering Sea,,,Not for IDW
249,Serripes groenlandicus,Greenland cockle,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,Not for IDW
250,Serripes notabilis,Oblique smoothcockle,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,Not for IDW
251,Siliqua alta,Alaska razor,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,Not for IDW
252,Stomphia coccinea,Swimming anemone,"Cnidaria (jellyfish, corals, anenomes) ",US East Coast,Eastern Bering Sea,,,Not for IDW
253,Strongylocentrotus droebachiensis,Green sea urchin,"Echinoidea (sea urchins, sand dollars) ",Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
254,Styela rustica,Sea potato,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
255,Telmessus cheiragonus,Helmet crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
256,Thaleichthys pacificus,Eulachon,"Osmeriformes (caplin, freshwater smelt)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
257,Triglops pingelii,Ribbed sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
258,Tritonia tetraquetra,Large orange peel nudibranch,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
259,Urticina crassicornis,Mottled anemone,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Eastern Bering Sea,,,Not for IDW
260,Volutopsius fragilis,Fragile whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
261,Volutopsius middendorffi,Tulip whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
262,Acantholumpenus mackayi,Pighead prickleback,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
263,Alcyonidium enteromorpha,Noodle bryozoan,Bryozoa,Alaska,Northern Bering Sea,,,Not for IDW
264,Alcyonidium pedunculatum,Smooth leather bryozoan,Bryozoa,Alaska,Northern Bering Sea,,,Not for IDW
265,Arctoraja parmifera,Alaska skate,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
266,Argis dentata,Arctic argid,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,Not for IDW
267,Aspidophoroides olrikii,Arctic alligatorfish,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
268,Asterias amurensis,North pacific seastar,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
269,Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
270,Boltenia ovifera,Stalked sea squirt,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
271,Boreogadus saida,Arctic cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
272,Buccinum angulosum,Angular whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
273,Buccinum plectrum,Sinuous whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,Not for IDW
274,Buccinum polare,Polar whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
275,Buccinum scalariforme,Ladder whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
276,Chionoecetes opilio,Snow crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
277,Chirona evermanni,Deepwater giant barnacle,Balanomorpha (barnacles),Alaska,Northern Bering Sea,,,Not for IDW
278,Chrysaora melanaster,NA,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Northern Bering Sea,,,Not for IDW
279,Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
280,Crangon septemspinosa,Sevenspine bay shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,Not for IDW
281,Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
282,Cryptonatica russa,Russty moonsnail,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,Not for IDW
283,Cyanea capillata,Lion's mane,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Northern Bering Sea,,,Not for IDW
284,Echinarachnius parma,Common sand dollar,"Echinoidea (sea urchins, sand dollars) ",Alaska,Northern Bering Sea,,,Not for IDW
285,Eleginus gracilis,Saffron cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
286,Enophrys diceraus,Antlered sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
287,Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
288,Eunoe depressa,Depressed scale worm,Polychaeta (brittle worms) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
289,Eunoe nodosa,Giant scale worm,Polychaeta (brittle worms) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
290,Euspira pallida,Pale moonsnail,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,Not for IDW
291,Evasterias echinosoma,Giant sea star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,,Not for IDW
292,Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
293,Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
294,Gersemia rubiformis,Sea strawberry,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Northern Bering Sea,,,Not for IDW
295,Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
296,Gymnocanthus pistilliger,Threaded sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
297,Gymnocanthus tricuspis,Arctic staghorn sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,Not for IDW
298,Halocynthia aurantium,Sea peach,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Northern Bering Sea,,,Not for IDW
299,Hemilepidotus papilio,Butterfly sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,Not for IDW
300,Hexagrammos stelleri,Whitespotted greenling,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
301,Hiatella arctica,Arctic hiatella,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Northern Bering Sea,,,Not for IDW
302,Hippoglossoides elassodon and H. robustus,Flathead sole-bering flounder,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
303,Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
304,Hyas coarctatus,Arctic lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
305,Labidochirus splendescens,Splendid hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
306,Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
307,Leptasterias (Hexasterias) polaris,Polar six-rayed star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
308,Leptasterias arctica,Arctic star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
309,Leptasterias groenlandica,Greenland star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,,Not for IDW
310,Lethasterias nanimensis,Black spined sea star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
311,Limanda aspera,Yellowfin sole,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
312,Limanda sakhalinensis,Sakhalin sole,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
313,Liparis gibbus,Variegated snailfish,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
314,Liparis tunicatus,Kelp snailfish,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,Not for IDW
315,Lumpenus fabricii,Slender eelblenny,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
316,Lumpenus sagitta,Snake prickleback,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,,Not for IDW
317,Lycodes palearis,Wattled eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
318,Lycodes raridens,Marbled eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,,Not for IDW
319,Lycodes turneri,Polar eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
320,Mactromeris polynyma,Arctic surfclam,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Northern Bering Sea,,,Not for IDW
321,Mallotus villosus,Capelin,"Osmeriformes (caplin, freshwater smelt)",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
322,Metridium farcimen,Giant plumose anemone,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Northern Bering Sea,,,Not for IDW
323,Modiolus modiolus,Northern horsemussel,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Northern Bering Sea,,,Not for IDW
324,Musculus discors,Discordant mussel,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Northern Bering Sea,,,Not for IDW
325,Myoxocephalus jaok,Plain sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
326,Myoxocephalus polyacanthocephalus,Great sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
327,Myoxocephalus scorpius,Shorthorn sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
328,Myzopsetta proboscidea,Longhead dab,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
329,Nautichthys pribilovius,Eyeshade sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,Not for IDW
330,Neptunea borealis,NA,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,Not for IDW
331,Neptunea heros,Northern neptune whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
332,Neptunea ventricosa,Fat whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
333,Occella dodecaedron,Bering poacher,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
334,Ophiura sarsii,Notched brittle star,Ophiuroidea (brittle stars),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
335,Osmerus mordax,Rainbow smelt,"Osmeriformes (caplin, freshwater smelt)",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
336,Pagurus capillatus,Hairy hermit crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
337,Pagurus ochotensis,Alaskan hermit crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
338,Pagurus rathbuni,Longfinger hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
339,Pagurus trigonocheirus,Fuzzy hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
340,Pallasina barbata,Tubenose poacher,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
341,Pandalus goniurus,Humpy shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
342,Paralithodes camtschaticus,Red king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
343,Paralithodes platypus,Blue king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
344,Platichthys stellatus,Starry flounder,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
345,Pleuronectes quadrituberculatus,Alaska plaice,Pleuronectiformes (Flatfishes) ,Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
346,Podothecus accipenserinus,Sturgeon poacher,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
347,Podothecus veternus,Veteran poacher,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,Not for IDW
348,Psolus fabricii,Scarlet psolus,Holothuroidea (sea cucumbers),Alaska,Northern Bering Sea,,,Not for IDW
349,Pteraster obscurus,Obscure cushion star,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,,Not for IDW
350,Sclerocrangon boreas,Sculptured shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
351,Serripes notabilis,Oblique smoothcockle,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
352,Strongylocentrotus droebachiensis,Green sea urchin,"Echinoidea (sea urchins, sand dollars) ",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
353,Styela rustica,Sea potato,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
354,Telmessus cheiragonus,Helmet crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
355,Triglops pingelii,Ribbed sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,,NMFS/Rutgers IDW Interpolation
356,Tritonia festiva,Diamondback tritonia,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,,Not for IDW
357,Acanthostracion quadricornis,Scrawled cowfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
358,Achelous gibbesii,Iridescent swimming crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
359,Achelous ordwayi,Silvery-clawed swimming crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
360,Achelous spinicarpus,Longspine swimming crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
361,Achelous spinimanus,Blotched swimming crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
362,Aluterus heudelotii,Dotterel filefish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
363,Aluterus schoepfii,Orange filefish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
364,Anadara secernenda,Skewed ark,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
